País,Participaciones,Oro,Plata,Bronce,Total
Afghanistan,16,0,0,2,2
Albania,10,0,0,2,2
Algeria,15,7,4,9,20
Argentina,26,22,27,31,80
Armenia,8,2,11,9,22
Australasia,2,3,4,5,12
Australia,28,182,192,226,600
Austria,29,22,35,44,101
Azerbaijan,8,9,16,31,56
Bahamas,18,8,2,6,16
Bahrain,11,4,3,1,8
Barbados,14,0,0,1,1
Belarus,7,13,30,42,85
Belgium,28,47,57,63,167
Bermuda,20,1,0,1,2
Bohemia,3,0,1,3,4
Botswana,12,1,2,1,4
Brazil,24,40,49,81,170
British West Indies,1,0,0,2,2
Bulgaria,22,57,89,85,231
Burkina Faso,11,0,0,1,1
Burundi,8,1,1,0,2
Cameroon,16,3,1,2,6
Canada,28,80,117,156,353
Cape Verde,8,0,0,1,1
Chile,25,3,8,4,15
China,12,303,226,198,727
Colombia,21,5,16,17,38
Costa Rica,17,1,1,2,4
Ivory Coast,15,1,1,3,5
Croatia,9,16,15,17,48
Cuba,22,86,70,88,244
Cyprus,12,0,2,0,2
Czech Republic,8,22,22,28,72
Czechoslovakia,16,49,49,45,143
Denmark,29,50,80,84,214
Djibouti,10,0,0,1,1
Dominica,8,1,0,0,1
Dominican Republic,16,4,5,6,15
Ecuador,16,4,4,2,10
Egypt,24,9,12,20,41
Eritrea,7,0,0,1,1
Estonia,14,10,9,17,36
Ethiopia,15,24,15,23,62
Fiji,16,2,1,1,4
Finland,27,101,85,119,305
France,30,239,279,306,821
Gabon,12,0,1,0,1
Georgia,8,13,15,19,47
Germany,18,218,220,255,693
United Team of Germany,3,28,54,36,118
East Germany,5,153,129,127,409
West Germany,5,56,67,81,204
Ghana,16,0,1,4,5
Great Britain,30,298,339,343,980
Greece,30,36,46,47,129
Grenada,11,1,1,3,5
Guatemala,15,1,1,1,3
Guyana,19,0,0,1,1
Haiti,17,0,1,1,2
Hong Kong,18,4,3,6,13
Hungary,28,187,161,182,530
Iceland,22,0,2,2,4
India,26,10,10,21,41
Indonesia,17,10,14,16,40
Iran,18,27,29,32,88
Iraq,16,0,0,1,1
Ireland,23,15,10,17,42
Israel,18,4,6,10,20
Italy,29,229,201,228,658
Jamaica,19,27,39,28,94
Japan,24,189,162,191,542
Jordan,12,1,2,1,4
Kazakhstan,8,15,25,38,78
Kenya,16,39,44,41,124
Kosovo,3,3,1,1,5
North Korea,11,16,18,27,61
South Korea,19,109,100,111,320
Kuwait,14,0,0,3,3
Kyrgyzstan,8,0,5,8,13
Latvia,13,4,11,6,21
Lebanon,19,0,2,2,4
Liechtenstein,19,0,0,0,0
Lithuania,11,6,9,15,30
Luxembourg,26,2,1,0,3
Malaysia,15,0,8,7,15
Mauritius,11,0,0,1,1
Mexico,25,13,27,37,77
Moldova,8,0,3,7,10
Mongolia,15,2,12,17,31
Montenegro,5,0,1,0,1
Morocco,16,8,5,13,26
Mozambique,12,1,0,1,2
Namibia,9,0,5,0,5
Netherlands,28,110,112,134,356
Netherlands Antilles,13,0,1,0,1
New Zealand,25,63,40,54,157
Niger,14,0,1,1,2
Nigeria,18,3,11,13,27
North Macedonia,8,0,1,1,2
Norway,28,65,53,53,171
Pakistan,19,4,3,4,11
Panama,19,1,1,2,4
Paraguay,14,0,1,0,1
Peru,20,1,3,1,5
Philippines,23,3,5,10,18
Poland,23,73,93,142,308
Portugal,26,6,11,15,32
Puerto Rico,20,2,2,8,12
Qatar,11,2,2,5,9
Refugee Olympic Team,3,0,0,1,1
Romania,23,93,101,123,317
Russia,6,147,125,150,422
Russian Empire,3,1,4,3,8
Soviet Union,9,395,319,296,"1,010"
Unified Team,1,45,38,29,112
Olympic Athletes from Russia,0,0,0,0,0
ROC,1,20,28,23,71
Samoa,11,0,1,0,1
Saint Lucia,8,1,1,0,2
San Marino,16,0,1,2,3
Saudi Arabia,13,0,2,2,4
Senegal,16,0,1,0,1
Serbia,6,9,8,12,29
Serbia and Montenegro,3,2,4,3,9
Singapore,18,1,2,3,6
Slovakia,8,10,14,9,33
Slovenia,9,10,10,11,31
South Africa,21,28,36,31,95
Spain,25,53,76,58,187
Sri Lanka,19,0,2,0,2
Sudan,14,0,1,0,1
Suriname,14,1,0,1,2
Sweden,29,151,181,182,514
Switzerland,30,54,81,79,214
Syria,15,1,1,2,4
Chinese Taipei,16,9,11,23,43
Tajikistan,8,1,1,5,7
Tanzania,15,0,2,0,2
Thailand,18,11,11,19,41
Togo,12,0,0,1,1
Tonga,11,0,1,0,1
Trinidad and Tobago,19,3,5,11,19
Tunisia,16,6,4,8,18
Turkey,24,41,29,41,111
Turkmenistan,8,0,1,0,1
Uganda,17,5,5,3,13
Ukraine,8,38,41,72,151
United Arab Emirates,11,1,0,1,2
United States,29,"1,105",879,781,"2,765"
Uruguay,23,2,2,6,10
Uzbekistan,8,18,8,23,49
Venezuela,20,3,7,9,19
Vietnam,17,1,3,1,5
Virgin Islands,14,0,1,0,1
Yugoslavia,16,26,29,28,83
Zambia,15,0,1,2,3
Zimbabwe,15,3,4,1,8
Individual Neutral Athletes,1,1,3,1,5
Independent Olympic Athletes,3,1,0,1,2
Independent Olympic Participants,1,0,1,2,3
Mixed team,3,11,6,8,25
